gdp_pwt_cur_o,pop_d,pop_o,hostility_level_o,hostility_level_d,common_language,polity_o,polity_d,sanction_threat,sanction_threat_trade,sanction_imposition,sanction_imposition_trade,gdp_wdi_cur_o,gdp_wdi_cap_cur_o,gdp_wdi_const_o,gdp_wdi_cap_const_o,gdp_wdi_cur_d,gdp_wdi_cap_cur_d,gdp_wdi_const_d,gdp_wdi_cap_const_d
35137.19922,8.069275856,16.44092369,0,0,0,-3,10,0,0,0,0,9129594819,556.8363181,35998401927,2195.630582,1.968E+11,24564.45829,3.36495E+11,42001.21077
37199.26172,8.097747803,16.98326683,0,0,0,-3,10,0,0,0,0,8936063723,527.3335285,37512494192,2213.681162,1.97338E+11,24537.51426,3.40759E+11,42370.93025
43236.75391,8.134411812,17.572649,0,0,0,-2,10,0,0,0,0,15285594828,872.4944916,42638834055,2433.804393,2.13378E+11,26401.74546,3.46387E+11,42859.32994
46261.9375,8.175851822,18.20336914,0,0,0,-2,10,0,0,0,0,17812705294,982.9608993,43913671239,2423.293995,2.61696E+11,32222.89724,3.49648E+11,43052.6026
56802.92578,8.216805458,18.86571693,0,0,0,-2,10,0,0,0,0,23552052408,1255.564045,48723474948,2597.456995,3.00904E+11,36821.52147,3.59212E+11,43956.5829
35137.19922,8.122740746,16.44092369,0,0,0,-3,-7,0,0,0,0,9129594819,556.8363181,35998401927,2195.630582,5272617196,655.0974326,13351060283,1658.805293
37199.26172,8.197278976,16.98326683,0,0,0,-3,-7,0,0,0,0,8936063723,527.3335285,37512494192,2213.681162,5707720391,703.6838434,14672815269,1808.957401
43236.75391,8.277014732,17.572649,0,0,0,-2,-7,0,0,0,0,15285594828,872.4944916,42638834055,2433.804393,6235856820,763.080638,16057770027,1964.986328
46261.9375,8.361358643,18.20336914,0,0,0,-2,-7,0,0,0,0,17812705294,982.9608993,43913671239,2423.293995,7276013032,883.6439965,17696995366,2149.232505
56802.92578,8.448882103,18.86571693,0,0,0,-2,-7,0,0,0,0,23552052408,1255.564045,48723474948,2597.456995,8680370408,1045.009379,19334640158,2327.651858
35137.19922,6.400705814,16.44092369,0,0,0,-3,-1,0,0,0,0,9129594819,556.8363181,35998401927,2195.630582,870486065.9,136.4639708,1462076191,229.2061073
37199.26172,6.555829048,16.98326683,0,0,0,-3,0,0,0,0,0,8936063723,527.3335285,37512494192,2213.681162,876794723.1,134.3634475,1492133657,228.6603888
43236.75391,6.741569042,17.572649,0,0,0,-2,2,0,0,0,0,15285594828,872.4944916,42638834055,2433.804393,825394490.2,123.117628,1558481670,232.4664977
46261.9375,6.953113079,18.20336914,0,0,0,-2,3,0,0,0,0,17812705294,982.9608993,43913671239,2423.293995,784654423.6,113.5673664,1539410094,222.8073211
56802.92578,7.182450771,18.86571693,0,0,0,-2,5,0,0,0,0,23552052408,1255.564045,48723474948,2597.456995,915257323.4,128.3366128,1613819909,226.2884716
35137.19922,10.28203297,16.44092369,0,0,0,-3,10,0,0,0,0,9129594819,556.8363181,35998401927,2195.630582,2.36205E+11,23041.53473,4.05833E+11,39588.59801
37199.26172,10.31901932,16.98326683,0,0,0,-3,10,0,0,0,0,8936063723,527.3335285,37512494192,2213.681162,2.36541E+11,22995.15752,4.10295E+11,39886.49436
43236.75391,10.36488533,17.572649,0,0,0,-2,10,0,0,0,0,15285594828,872.4944916,42638834055,2433.804393,2.57158E+11,24887.56133,4.17299E+11,40385.86895
46261.9375,10.4190321,18.20336914,0,0,0,-2,10,0,0,0,0,17812705294,982.9608993,43913671239,2423.293995,3.17382E+11,30587.66841,4.2163E+11,40634.58549
56802.92578,10.48011684,18.86571693,0,0,0,-2,10,0,0,0,0,23552052408,1255.564045,48723474948,2597.456995,3.68537E+11,35364.37533,4.36687E+11,41903.97642
35137.19922,6.865951061,16.44092369,0,0,0,-3,6,0,0,0,0,9129594819,556.8363181,35998401927,2195.630582,3511248900,511.400227,6520842618,949.7362592
37199.26172,7.076733112,16.98326683,0,0,0,-3,6,0,0,0,0,8936063723,527.3335285,37512494192,2213.681162,3663017700,517.6142296,6868608004,970.5902433
43236.75391,7.295393944,17.572649,0,0,0,-2,6,0,0,0,0,15285594828,872.4944916,42638834055,2433.804393,4174634520,572.2287954,7187519594,985.2133544
46261.9375,7.520555019,18.20336914,0,0,0,-2,6,0,0,0,0,17812705294,982.9608993,43913671239,2423.293995,5337266688,709.6905332,7435027350,988.6274816
56802.92578,7.750003815,18.86571693,0,0,0,-2,6,0,0,0,0,23552052408,1255.564045,48723474948,2597.456995,6179176459,797.31268,7764375608,1001.8544
35137.19922,11.60794163,16.44092369,0,0,0,-3,-3,1,1,0,0,9129594819,556.8363181,35998401927,2195.630582,2628920056,226.4759814,5046707524,434.7633304
37199.26172,11.94458675,16.98326683,0,0,0,-3,0,0,0,0,0,8936063723,527.3335285,37512494192,2213.681162,2812845514,235.4912324,5380466456,450.4522807
43236.75391,12.29310036,17.572649,0,0,0,-2,0,0,0,0,0,15285594828,872.4944916,42638834055,2433.804393,3205592290,260.7635413,5614678394,456.7341349
46261.9375,12.65462112,18.20336914,0,0,0,-2,0,0,0,0,0,17812705294,982.9608993,43913671239,2423.293995,4205691222,332.3443051,6052760301,478.3043523
56802.92578,13.03056908,18.86571693,0,0,0,-2,0,0,0,0,0,23552052408,1255.564045,48723474948,2597.456995,4838551100,371.3230865,6323831618,485.3074043
35137.19922,131.5812378,16.44092369,0,0,0,-3,6,0,0,0,0,9129594819,556.8363181,35998401927,2195.630582,53369787319,418.0689683,67013463193,524.9458697
37199.26172,134.1071625,16.98326683,0,0,0,-3,6,0,0,0,0,8936063723,527.3335285,37512494192,2213.681162,53991289844,415.0344266,70415929567,541.2916609
